"A1","A2","Block_nr_Condition_3","Block_nr_Condition_4","Q_high","Q_low","acc","acceptable","accuracy","anchor_width","average_response_time","avg_rt","background","bidi","block_eyetracker","block_number","boundary","boundary_left_correction","canvas_backend","ch","char_idx","char_right_boundary","chars_so_far","clock_backend","color_backend","compensation","coordinates","correct","correct_high","correct_instructions","correct_keyboard_response","correct_low","correct_practice_instructions","correct_response","count_GC_sentence_trigger","count_GC_trial_end","count_Setup_Sampling_Rate","count_about_this_experiment","count_acceptability_question","count_block_sequence","count_clear_screen","count_counterbalancingMODE","count_display_sentence","count_drift_correct","count_end_of_exp","count_end_of_practice_1","count_experiment","count_experiment_block_loop","count_experimental_loop","count_eyetracker_log_unicode","count_function_save_canvas_as_image","count_instructions","count_keyboard_response","count_logger","count_new_sketchpad","count_practice_block_loop","count_practice_instructions","count_practice_loop","count_practice_sequence","count_prepare_gaze_target","count_prepare_sentences","count_pygaze_init","count_pygaze_start_recording","count_pygaze_stop_recording","count_reset_feedback","count_reset_feedback_1","count_select_block","count_select_practice","count_set_test_mode","count_setup_condition","count_show_gaze_target_and_driftcorrect","count_test_mode_warning","count_trial_sequence","current_block","current_correct_text","current_question","current_sentence","current_string","datetime","description","desired_sampling_rate","disable_garbage_collection","do_practice","experiment_file","experiment_path","first_anchored","first_char","first_right","fix_start_time","fixated","fixation_start_time","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","freq_condition","fullscreen","gazetarget_height","gazetarget_width","has_question","height","i","index","is_Q","item_nr","key","keyboard_backend","len_high","len_low","letter_height","live_row","live_row_practice_block_loop","live_row_practice_loop","logfile","mouse_backend","num_words","on_target","opensesame_codename","opensesame_version","pretarget","pretarget_n_words","psychopy_screen","psychopy_suppress_warnings","repeat_cycle","response","response_end_of_exp","response_end_of_practice_1","response_instructions","response_keyboard_response","response_new_sketchpad","response_practice_instructions","response_test_mode_warning","response_time","response_time_end_of_exp","response_time_end_of_practice_1","response_time_instructions","response_time_keyboard_response","response_time_new_sketchpad","response_time_practice_instructions","response_time_test_mode_warning","right_bound_px","round_decimals","sampler_backend","sentence","sentence_beginning","sentence_chars","sentence_high","sentence_left_boundary","sentence_low","sentence_number","sentence_start_x","sentence_use","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_mod","subject_nr","subject_parity","t","t1","t2","t_display_on","target","target_word_nr","test_mode","text_left_x","time_GC_sentence_trigger","time_GC_trial_end","time_Setup_Sampling_Rate","time_about_this_experiment","time_acceptability_question","time_block_sequence","time_clear_screen","time_counterbalancingMODE","time_display_sentence","time_drift_correct","time_end_of_exp","time_end_of_practice_1","time_experiment","time_experiment_block_loop","time_experimental_loop","time_eyetracker_log_unicode","time_function_save_canvas_as_image","time_instructions","time_keyboard_response","time_logger","time_new_sketchpad","time_practice_block_loop","time_practice_instructions","time_practice_loop","time_practice_sequence","time_prepare_gaze_target","time_prepare_sentences","time_pygaze_init","time_pygaze_start_recording","time_pygaze_stop_recording","time_reset_feedback","time_reset_feedback_1","time_select_block","time_select_practice","time_set_test_mode","time_setup_condition","time_show_gaze_target_and_driftcorrect","time_test_mode_warning","time_trial_sequence","title","total_correct","total_response_time","total_responses","trial_end_trigger_fixated","trial_end_trigger_on_target","trial_type","trigger_time_gazetarget","trigger_time_trialend","uniform_coordinates","width","word","word_idx","x","x_left_gazetarget","x_left_trialend","x_right_gazetarget","y","y_bottom_gazetarget","y_top_gazetarget","y_top_trialend"
"trotando","evitando","1","2","¿Dejó él de evitar el problema complicado aunque estaba cansado?","¿Él dejó de trotar aunque estaba cansado?","100","True","100","3","3284","3284","white","yes","EyeLogicOne","0","635","0.14","psycho",".","10","1069","Aunque estaba cansado, él continuó evitando el problema complicado.","psycho","psycho","0","relative","1","NO","undefined","1","NO","undefined","2","0","0","0","0","0","NA","1","0","0","0","0","0","0","NA","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","b2","NO","¿Dejó él de evitar el problema complicado aunque estaba cansado?","Aunque estaba cansado, él continuó evitando el problema complicado.","Aunque estaba cansado, él continuó evitando el problema complicado.","Fri Apr 17 16:45:30 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","A","21","0","1","52728.023100004066","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","8","1002","YES","325","None","psycho","NA","NA","36","0","0","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-5.csv","psycho","9","1","Neonatal Nightingale","4.1.8","Aunque estaba cansado, él continuó ","5","2","yes","0","2","NA","NA","1","2","NA","2","NA","3284.556500002509","NA","NA","14714.407099992968","3284.556500002509","NA","7493.552200001432","NA","1069","2","psycho","Aunque estaba cansado, él continuó evitando el problema complicado.","Aunque estaba cansado, él continuó ","Aunque estaba cansado, él continuó evitando el problema complicado.","Aunque estaba cansado, él continuó evitando el problema complicado.","121","Aunque estaba cansado, él continuó trotando con perseverancia.","182","125.0","Aunque estaba cansado, él continuó evitando el problema complicado.","1024","2","48000","-16","experiment","1","5","odd","47597.96080000524","50092.74540000479","52727.935600007186","50350.96710000653","evitando","5","False","121","47597.87070000311","50350.942300006864","47399.243599997135","NA","52834.53900000313","NA","56126.81000000157","39199.98000000487","50342.862300007255","47399.30010000535","NA","NA","6157.073599999421","NA","NA","NA","6157.344100007322","10039.009900006931","52835.8745000005","56126.86479999684","NA","46739.06970000826","39245.056300002034","39200.04359999439","39237.601900007576","47399.27049999824","47399.29149999807","24759.80860000709","47399.31579999393","NA","NA","NA","NA","NA","8580.585600007907","47399.28169999621","47592.35419999459","NA","47398.70190000511","Sampling_Rate_Experiment","1","3284.556500002509","1","1","1","practice","250","100","no","1920","complicado.","8","1853.846969120604","100","1728.0","150","1008.1204706188599","565.0","515.0","972.0"
"pisó","leyó","1","2","¿Leyó un libro interesante antes de terminar su tarea?","¿Pisó a propósito su lápiz después de terminar su tarea?","100","True","100","3","3659","3659","white","yes","EyeLogicOne","0","563","0.14","psycho",".","11","913","Después de terminar su tarea, leyó un libro interesante.","psycho","psycho","0","relative","1","NO","undefined","1","NO","undefined","2","1","1","1","0","1","NA","2","0","1","1","0","0","0","NA","0","1","0","0","1","1","NA","0","0","0","0","1","1","0","1","1","NA","0","0","0","0","1","1","0","1","b2","NO","¿Leyó un libro interesante antes de terminar su tarea?","Después de terminar su tarea, leyó un libro interesante.","Después de terminar su tarea, leyó un libro interesante.","Fri Apr 17 16:45:30 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","D","19","0","1","61055.66719999479","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","8","1003","YES","19","None","psycho","NA","NA","36","1","1","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-5.csv","psycho","9","1","Neonatal Nightingale","4.1.8","Después de terminar su tarea, ","5","2","yes","0","2","NA","NA","1","2","NA","2","NA","4034.2799999925774","NA","NA","14714.407099992968","4034.2799999925774","NA","7493.552200001432","NA","913","2","psycho","Después de terminar su tarea, leyó un libro interesante.","Después de terminar su tarea, ","Después de terminar su tarea, leyó un libro interesante.","Después de terminar su tarea, leyó un libro interesante.","119","Después de terminar su tarea, pisó accidentalmente su lápiz.","193","125.0","Después de terminar su tarea, leyó un libro interesante.","1024","2","48000","-16","experiment","1","5","odd","57542.42159999558","58693.283400003565","61055.59930000163","58951.516900007846","leyó","5","False","119","57542.32839999895","58951.478300004965","57346.92290000385","NA","61162.7240999951","NA","65205.111100003705","39199.98000000487","58943.40370000282","57346.965000004275","NA","NA","6157.073599999421","NA","NA","56135.202400007984","6157.344100007322","10039.009900006931","61164.164400004665","65205.16620000126","NA","46739.06970000826","39245.056300002034","39200.04359999439","39237.601900007576","57346.93929999776","57346.95720000309","24759.80860000709","57346.97779999988","56806.227399996715","NA","NA","NA","NA","8580.585600007907","57346.948799997335","57536.36300000653","NA","57346.804200002225","Sampling_Rate_Experiment","2","7318.836499995086","2","1","1","practice","250","100","no","1920","interesante.","8","1868.4804906672225","100","1728.0","150","1004.8411908585614","565.0","515.0","972.0"
"barraca","tribuna","1","2","¿Se podía observar claramente el campo de juego desde la tribuna? ","¿Podía verse el paisaje montañoso desde la barraca? ","100","True","100","3","3106","3106","white","yes","EyeLogicOne","0","269","0.14","psycho",".","5","1025","Desde la tribuna se podía observar claramente el campo de juego.","psycho","psycho","0","relative","1","YES","undefined","1","YES","undefined","1","2","2","2","0","2","NA","3","0","2","2","0","0","0","NA","0","2","0","0","2","2","NA","0","0","0","0","2","2","0","2","2","NA","0","0","0","0","2","2","0","2","b2","YES","¿Se podía observar claramente el campo de juego desde la tribuna? ","Desde la tribuna se podía observar claramente el campo de juego.","Desde la tribuna se podía observar claramente el campo de juego.","Fri Apr 17 16:45:30 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","D","19","0","1","70356.30300000776","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","10","1004","YES","91","None","psycho","NA","NA","36","2","2","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-5.csv","psycho","11","1","Neonatal Nightingale","4.1.8","Desde la ","2","2","yes","0","1","NA","NA","1","1","NA","2","NA","2001.6272000066238","NA","NA","14714.407099992968","2001.6272000066238","NA","7493.552200001432","NA","1025","2","psycho","Desde la tribuna se podía observar claramente el campo de juego.","Desde la ","Desde la tribuna se podía observar claramente el campo de juego.","Desde la tribuna se podía observar claramente el campo de juego.","119","Desde la barraca se podía observar el hermoso paisaje montañoso.","301","125.0","Desde la tribuna se podía observar claramente el campo de juego.","1024","2","48000","-16","experiment","1","5","odd","66696.1716000078","67594.49250000762","70356.2385999976","67852.09830000531","tribuna","2","False","119","66696.07079999696","67852.07079999964","66507.77670000389","NA","70463.59790000133","NA","72472.7758999943","39199.98000000487","67844.62530000019","66507.82100000652","NA","NA","6157.073599999421","NA","NA","65213.07139999408","6157.344100007322","10039.009900006931","70464.89499999734","72472.832200001","NA","46739.06970000826","39245.056300002034","39200.04359999439","39237.601900007576","66507.79370000237","66507.81169999391","24759.80860000709","66507.83309999679","65879.54880000325","NA","NA","NA","NA","8580.585600007907","66507.80320000194","66688.73999999778","NA","66507.61390000116","Sampling_Rate_Experiment","3","9320.46370000171","3","1","1","practice","250","100","no","1920","juego.","10","1808.42266512387","100","1728.0","150","987.3727580660005","565.0","515.0","972.0"
"supermercado","narcotráfico","1","2","¿Podemos negar que el narcotráfico es un problema grave y complejo?","¿Podemos negar que el supermercado tiene una gran variedad de productos frescos y de calidad? ","100","True","100","3","2753","2753","white","yes","EyeLogicOne","0","480","0.14","psycho",".","8","1096","No podemos negar que el narcotráfico es un problema grave y complejo.","psycho","psycho","0","relative","1","NO","undefined","1","YES","undefined","2","3","3","3","0","3","NA","4","0","3","3","0","0","0","NA","0","3","0","0","3","3","NA","0","0","0","0","3","3","0","3","3","NA","0","0","0","0","3","3","0","3","b2","NO","¿Podemos negar que el narcotráfico es un problema grave y complejo?","No podemos negar que el narcotráfico es un problema grave y complejo.","No podemos negar que el narcotráfico es un problema grave y complejo.","Fri Apr 17 16:45:30 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","N","20","0","1","81456.48880000226","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","11","1005","YES","94","None","psycho","NA","NA","36","3","3","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-5.csv","psycho","12","1","Neonatal Nightingale","4.1.8","No podemos negar que el ","5","2","yes","0","2","NA","NA","1","2","NA","2","NA","1694.6495000011055","NA","NA","14714.407099992968","1694.6495000011055","NA","7493.552200001432","NA","1096","2","psycho","No podemos negar que el narcotráfico es un problema grave y complejo.","No podemos negar que el ","No podemos negar que el narcotráfico es un problema grave y complejo.","No podemos negar que el narcotráfico es un problema grave y complejo.","120","No podemos negar que el supermercado tiene una gran variedad de productos frescos y de calidad.","303","125.0","No podemos negar que el narcotráfico es un problema grave y complejo.","1024","2","48000","-16","experiment","1","5","odd","74052.29370000598","78576.8015000067","81456.40490000369","78834.26010000403","narcotráfico","5","False","120","74052.19220000436","78834.2210999981","73860.35489999631","NA","81563.31569999747","NA","83265.66649999586","39199.98000000487","78826.96849999775","73860.39899999741","NA","NA","6157.073599999421","NA","NA","72482.00839999481","6157.344100007322","10039.009900006931","81564.79560000298","83265.73680000729","NA","46739.06970000826","39245.056300002034","39200.04359999439","39237.601900007576","73860.37100000249","73860.38980000012","24759.80860000709","73860.41079999995","73156.14770000684","NA","NA","NA","NA","8580.585600007907","73860.38130000816","74045.20770000818","NA","73860.26220000349","Sampling_Rate_Experiment","4","11015.113200002816","4","1","1","practice","250","100","no","1920","complejo.","11","1861.6969886452443","100","1728.0","150","996.2836193259545","565.0","515.0","972.0"
"agregado","enseñado","1","2","¿El profesor ha enseñado durante pocos años en esta universidad?","¿El profesor agregó instrucciones para el proyecto? ","100","True","100","3","2652","2652","white","yes","EyeLogicOne","0","354","0.14","psycho",".","11","1026","El profesor ha enseñado durante muchos años en esta universidad.","psycho","psycho","0","relative","1","NO","undefined","1","YES","undefined","2","4","4","4","0","4","NA","5","0","4","4","0","0","0","NA","0","4","0","0","4","4","NA","0","0","0","0","4","4","0","4","4","NA","0","0","0","0","4","4","0","4","b2","NO","¿El profesor ha enseñado durante pocos años en esta universidad?","El profesor ha enseñado durante muchos años en esta universidad.","El profesor ha enseñado durante muchos años en esta universidad.","Fri Apr 17 16:45:30 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","E","20","0","1","87965.49260000756","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","9","1001","YES","280","None","psycho","NA","NA","36","4","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-5.csv","psycho","10","1","Neonatal Nightingale","4.1.8","El profesor ha ","3","2","yes","0","2","NA","NA","1","2","NA","2","NA","2245.227599996724","NA","NA","14714.407099992968","2245.227599996724","NA","7493.552200001432","NA","1026","2","psycho","El profesor ha enseñado durante muchos años en esta universidad.","El profesor ha ","El profesor ha enseñado durante muchos años en esta universidad.","El profesor ha enseñado durante muchos años en esta universidad.","120","El profesor ha agregado algunas instrucciones importantes para el proyecto.","169","125.0","El profesor ha enseñado durante muchos años en esta universidad.","1024","2","48000","-16","experiment","1","5","odd","84775.62780000153","85817.94389999413","87965.38530000544","86076.62049999635","enseñado","3","False","120","84775.52740000829","86076.52770000277","84595.54340000614","NA","88072.81420000072","NA","90325.73579999735","39199.98000000487","86068.08339999407","84595.5924000009","NA","NA","6157.073599999421","NA","NA","83274.9768000067","6157.344100007322","10039.009900006931","88074.20560000173","90325.78800000192","NA","46739.06970000826","39245.056300002034","39200.04359999439","39237.601900007576","84595.56529999827","84595.58419999667","24759.80860000709","84595.604800008","83949.5348000055","NA","NA","NA","NA","8580.585600007907","84595.57550000318","84768.53780000238","NA","84595.39620000578","Sampling_Rate_Experiment","5","13260.34079999954","5","1","1","practice","250","100","no","1920","universidad.","9","1870.8913546746667","100","1728.0","150","991.7703780983829","565.0","515.0","972.0"
"azotó","llegó","1","2","","","100","True","100","3","2652","2652","white","yes","EyeLogicOne","0","451","0.14","psycho",".","6","1123","De repente, el viento llegó con fuerza y derribó las sillas del jardín.","psycho","psycho","0","relative","undefined","","undefined","1","","undefined","None","5","5","5","0","5","0","6","0","5","5","0","0","0","0","0","5","0","0","5","5","NA","0","0","0","0","5","5","0","5","5","0","0","0","0","0","5","5","0","5","b2","","","De repente, el viento llegó con fuerza y derribó las sillas del jardín.","De repente, el viento llegó con fuerza y derribó las sillas del jardín.","Fri Apr 17 16:45:30 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","D","19","0","1","104296.17329999746","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","12","143","NO","204","None","psycho","71","47","36","0","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-5.csv","psycho","13","1","Neonatal Nightingale","4.1.8","De repente, el viento ","4","2","yes","0","2","NA","2","1","2","NA","2","NA","6518.167799993535","NA","6518.167799993535","14714.407099992968","2245.227599996724","NA","7493.552200001432","NA","1123","2","psycho","De repente, el viento llegó con fuerza y derribó las sillas del jardín.","De repente, el viento ","De repente, el viento llegó con fuerza y derribó las sillas del jardín.","De repente, el viento llegó con fuerza y derribó las sillas del jardín.","119","De repente, el viento azotó con fuerza la casa.","198","125.0","De repente, el viento llegó con fuerza y derribó las sillas del jardín.","1024","2","48000","-16","experiment","1","5","odd","98416.30640000221","101229.90180000488","104296.08369999914","101488.58180000389","llegó","4","False","119","98416.2115000072","101488.55789999652","98223.75469999679","NA","88072.81420000072","97531.4636999974","104401.98350000719","39199.98000000487","101480.30650000146","98223.80330000306","NA","91012.27110000036","6157.073599999421","97531.55519999564","97531.07440000167","90332.5521999941","6157.344100007322","10039.009900006931","88074.20560000173","104402.03339999425","NA","46739.06970000826","39245.056300002034","39200.04359999439","39237.601900007576","98223.77530000813","98223.7948999973","24759.80860000709","98223.81520000636","91004.61010000436","NA","NA","NA","NA","8580.585600007907","98223.78570000001","98409.27129999909","NA","98223.37780000817","Sampling_Rate_Experiment","5","13260.34079999954","5","1","1","experimental","250","100","no","1920","jardín.","12","1856.7818961094376","100","1728.0","150","1002.0404738477096","565.0","515.0","972.0"
"soltaron","llegaron","1","2","","","100","True","100","3","2652","2652","white","yes","EyeLogicOne","0","480","0.14","psycho",".","9","1152","En la estación de tren, soltaron un anuncio importante por los altavoces.","psycho","psycho","0","relative","undefined","","undefined","1","","undefined","None","6","6","6","0","6","0","7","0","6","6","0","0","0","0","0","6","0","0","6","6","NA","0","0","0","0","6","6","0","6","6","0","0","0","0","0","6","6","0","6","b2","","","En la estación de tren, soltaron un anuncio importante por los altavoces.","En la estación de tren, soltaron un anuncio importante por los altavoces.","Fri Apr 17 16:45:30 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","E","20","0","1","110127.84879999526","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","NO","1080","11","198","NO","151","None","psycho","59","73","36","1","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-5.csv","psycho","12","1","Neonatal Nightingale","4.1.8","En la estación de tren,","5","2","yes","0","2","NA","2","1","2","NA","2","NA","6518.167799993535","NA","6518.167799993535","14714.407099992968","2245.227599996724","NA","7493.552200001432","NA","1152","2","psycho","En la estación de tren, soltaron un anuncio importante por los altavoces.","En la estación de tren,","En la estación de tren, soltaron un anuncio importante por los altavoces.","En la estación de tren, llegaron varios pasajeros ansiosos.","120","En la estación de tren, soltaron un anuncio importante por los altavoces.","197","125.0","En la estación de tren, soltaron un anuncio importante por los altavoces.","1024","2","48000","-16","experiment","1","5","odd","106003.03010000789","107137.24910000747","110127.78599999729","107395.94830000715","soltaron","5","False","120","106002.92810000246","107395.92179999454","105810.46710000373","NA","88072.81420000072","97531.4636999974","110234.20229999465","39199.98000000487","107387.37830000173","105810.5121999979","NA","91012.27110000036","6157.073599999421","97531.55519999564","97531.07440000167","104410.10419999657","6157.344100007322","10039.009900006931","88074.20560000173","110234.25979999593","NA","46739.06970000826","39245.056300002034","39200.04359999439","39237.601900007576","105810.48499999451","105810.50310000137","24759.80860000709","105810.52440000349","105116.33449999499","NA","NA","NA","NA","8580.585600007907","105810.49400000484","105995.08839999908","NA","105810.31869999424","Sampling_Rate_Experiment","5","13260.34079999954","5","1","1","experimental","250","100","no","1920","altavoces.","11","1874.568306434141","100","1728.0","150","994.786673082057","565.0","515.0","972.0"
"unirme","perder","1","2","","","100","True","100","3","2652","2652","white","yes","EyeLogicOne","0","312","0.14","psycho",".","6","760","No esperaba perder la oportunidad tan pronto.","psycho","psycho","0","relative","undefined","","undefined","1","","undefined","None","7","7","7","0","7","0","8","0","7","7","0","0","0","0","0","7","0","0","7","7","NA","0","0","0","0","7","7","0","7","7","0","0","0","0","0","7","7","0","7","b2","","","No esperaba perder la oportunidad tan pronto.","No esperaba perder la oportunidad tan pronto.","Fri Apr 17 16:45:30 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","N","20","0","1","116120.2168000018","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","6","155","NO","74","None","psycho","45","51","36","2","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-5.csv","psycho","7","1","Neonatal Nightingale","4.1.8","No esperaba ","2","2","yes","0","2","NA","2","1","2","NA","2","NA","6518.167799993535","NA","6518.167799993535","14714.407099992968","2245.227599996724","NA","7493.552200001432","NA","760","2","psycho","No esperaba perder la oportunidad tan pronto.","No esperaba ","No esperaba perder la oportunidad tan pronto.","No esperaba perder la oportunidad tan pronto.","120","No esperaba unirme tan pronto al equipo de trabajo.","212","125.0","No esperaba perder la oportunidad tan pronto.","1024","2","48000","-16","experiment","1","5","odd","111590.13379999669","114208.14699999755","116120.07600000652","114466.4449999982","perder","2","False","120","111590.03750000556","114466.41799999634","111408.96159999829","NA","88072.81420000072","97531.4636999974","116225.93109999434","39199.98000000487","114458.28059999621","111408.99989999889","NA","91012.27110000036","6157.073599999421","97531.55519999564","97531.07440000167","110242.96079999476","6157.344100007322","10039.009900006931","88074.20560000173","116225.98640000797","NA","46739.06970000826","39245.056300002034","39200.04359999439","39237.601900007576","111408.9748999977","111408.99189999618","24759.80860000709","111409.01109999686","110950.41479999782","NA","NA","NA","NA","8580.585600007907","111408.98399999423","111583.11400000821","NA","111408.88960000302","Sampling_Rate_Experiment","5","13260.34079999954","5","1","1","experimental","250","100","no","1920","pronto.","6","1853.3870546572741","100","1728.0","150","974.1030424776062","565.0","515.0","972.0"
"maximizar","proseguir","1","2","¿Se requiere una actitud constante y firme para alcanzar la meta?","¿Implica el texto que se deben aprovechar los recursos al máximo?","100","True","100","3","2460","2460","white","yes","EyeLogicOne","0","688","0.14","psycho",".","8","1220","Para cumplir nuestro objetivo, debemos maximizar nuestro potencial y recursos.","psycho","psycho","0","relative","1","YES","undefined","1","YES","undefined","1","8","8","8","0","8","0","9","0","8","8","0","0","0","0","0","8","0","0","8","8","NA","0","0","0","0","8","8","0","8","8","0","0","0","0","0","8","8","0","8","b2","YES","¿Implica el texto que se deben aprovechar los recursos al máximo?","Para cumplir nuestro objetivo, debemos maximizar nuestro potencial y recursos.","Para cumplir nuestro objetivo, debemos maximizar nuestro potencial y recursos.","Fri Apr 17 16:45:30 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","P","18","0","1","121032.71739999764","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","YES","1080","9","117","YES","125","None","psycho","83","78","36","3","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-5.csv","psycho","10","1","Neonatal Nightingale","4.1.8","Para cumplir nuestro objetivo, debemos ","5","2","yes","0","1","NA","2","1","1","NA","2","NA","2460.7954999955837","NA","6518.167799993535","14714.407099992968","2460.7954999955837","NA","7493.552200001432","NA","1220","2","psycho","Para cumplir nuestro objetivo, debemos maximizar nuestro potencial y recursos.","Para cumplir nuestro objetivo, debemos ","Para cumplir nuestro objetivo, debemos maximizar nuestro potencial y recursos.","Para cumplir nuestro objetivo, debemos proseguir con determinación y perseverancia.","118","Para cumplir nuestro objetivo, debemos maximizar nuestro potencial y recursos.","225","125.0","Para cumplir nuestro objetivo, debemos maximizar nuestro potencial y recursos.","1024","2","48000","-16","experiment","1","5","odd","117889.93249999476","118601.08940000646","121032.63810000499","118859.28540000168","maximizar","5","False","118","117889.83590000134","118859.2631000065","117704.99470000505","NA","121140.25989999936","97531.4636999974","123608.5344000021","39199.98000000487","118851.2114000041","117705.04190000065","NA","91012.27110000036","6157.073599999421","97531.55519999564","97531.07440000167","116234.21369999414","6157.344100007322","10039.009900006931","121141.68770000106","123608.58870000811","NA","46739.06970000826","39245.056300002034","39200.04359999439","39237.601900007576","117705.01200000581","117705.03250000183","24759.80860000709","117705.05520000006","116940.23069999821","NA","NA","NA","NA","8580.585600007907","117705.02300000226","117883.75959999394","NA","117704.87590000266","Sampling_Rate_Experiment","1","2460.7954999955837","1","1","1","experimental","250","100","no","1920","recursos.","9","1852.102005341951","100","1728.0","150","1002.4678913581265","565.0","515.0","972.0"
"arar","usar","1","2","¿Se necesita maquinaria pesada?","¿Es necesario preparar la tierra?","50","True","50","3","5292","5292","white","yes","EyeLogicOne","0","466","0.14","psycho",".","9","816","Un agricultor necesita usar un tractor eficiente.","psycho","psycho","0","relative","0","YES","undefined","0","YES","undefined","1","9","9","9","0","9","0","10","0","9","9","0","0","0","0","0","9","0","0","9","9","NA","0","0","0","0","9","9","0","9","9","0","0","0","0","0","9","9","0","9","b2","YES","¿Se necesita maquinaria pesada?","Un agricultor necesita usar un tractor eficiente.","Un agricultor necesita usar un tractor eficiente.","Fri Apr 17 16:45:30 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","U","20","0","1","128643.77450000029","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","6","120","YES","109","None","psycho","49","55","36","4","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-5.csv","psycho","7","1","Neonatal Nightingale","4.1.8","Un agricultor necesita ","3","2","yes","0","2","NA","2","1","2","NA","2","NA","8124.094099999638","NA","6518.167799993535","14714.407099992968","8124.094099999638","NA","7493.552200001432","NA","816","2","psycho","Un agricultor necesita usar un tractor eficiente.","Un agricultor necesita ","Un agricultor necesita usar un tractor eficiente.","Un agricultor necesita usar un tractor eficiente.","120","Un agricultor necesita arar la tierra antes de sembrar.","270","125.0","Un agricultor necesita usar un tractor eficiente.","1024","2","48000","-16","experiment","1","5","odd","124997.48259999615","125760.68419999501","128643.66309999605","126020.16630000435","usar","3","False","120","124997.34770000214","126020.14110000164","124818.87129999814","NA","128750.85579999723","97531.4636999974","136884.03000000108","39199.98000000487","126011.17820000218","124818.90949999797","NA","91012.27110000036","6157.073599999421","97531.55519999564","97531.07440000167","123616.46140000084","6157.344100007322","10039.009900006931","128752.31979999808","136884.08069999423","NA","46739.06970000826","39245.056300002034","39200.04359999439","39237.601900007576","124818.88410000829","124818.90110000677","24759.80860000709","124818.92010000593","124327.25600000413","NA","NA","NA","NA","8580.585600007907","124818.89320000482","124990.7641000027","NA","124818.81050000084","Sampling_Rate_Experiment","1","10584.889599995222","2","1","1","experimental","250","100","no","1920","eficiente.","6","1855.439277515437","100","1728.0","150","975.3094623902921","565.0","515.0","972.0"
